"id","sku","name","description","packaging","category_id","featured","status","images","created_at","updated_at"
"1","BOV-001","Picanha Premium","Corte nobre bovino com capa de gordura uniforme. Ideal para churrascos e assados especiais.","Caixa: 18 kg | 12 a 15 peças por caixa","1","true","active","[""https://placehold.co/800x600/1E3A5F/white?text=Picanha+Premium""]","""2025-10-29T14:24:31.071Z""","""2025-10-30T20:54:23.828Z"""
"2","BOV-002","Contrafilé Angus","Contrafilé macio e suculento de gado Angus. Perfeito para bifes e medalhões.","Caixa: 20 kg | Peças de 2-3 kg","1","true","active","[""https://placehold.co/800x600/1E3A5F/white?text=Contrafile""]","""2025-10-29T14:24:31.177Z""","""2025-10-30T20:54:23.977Z"""
"3","AVE-001","Peito de Frango IQF","Peito de frango congelado individualmente (IQF). Facilita o porcionamento em cozinhas industriais.","Caixa: 20 kg | 4 pacotes de 5 kg","3","true","active","[""https://placehold.co/800x600/1E3A5F/white?text=Peito+Frango""]","""2025-10-29T14:24:31.253Z""","""2025-10-30T20:54:24.124Z"""
"4","AVE-002","Coxa e Sobrecoxa","Coxa e sobrecoxa de frango de primeira qualidade. Ideal para assados e frituras.","Caixa: 15 kg | Aproximadamente 60 peças","3","false","active","[""https://placehold.co/800x600/1E3A5F/white?text=Coxa+Frango""]","""2025-10-29T14:24:31.336Z""","""2025-10-30T20:54:24.275Z"""
"5","SUI-001","Costela Suína em Ripa","Costelinha suína em ripa, ideal para assados e barbecue. Carne macia e saborosa.","Caixa: 15 kg | 8 a 10 peças por caixa","2","false","active","[""https://placehold.co/800x600/1E3A5F/white?text=Costela+Suina""]","""2025-10-29T14:24:31.416Z""","""2025-10-30T20:54:24.434Z"""
"6","SUI-002","Lombo Suíno Premium","Lombo suíno premium sem osso. Perfeito para assados e medalhões.","Caixa: 12 kg | Peças de 2-2,5 kg","2","true","active","[""https://placehold.co/800x600/1E3A5F/white?text=Lombo+Suino""]","""2025-10-29T14:24:31.491Z""","""2025-10-30T20:54:24.586Z"""
"7","10011","Kafta","Produto premium para clientes exigentes que buscam qualidade superior.","Pacote família 2kg","1","false","active","[""/produtos/10011.jpg""]","""2025-10-30T17:26:53.790Z""","""2025-10-30T20:55:27.323Z"""
"8","10012","Camarão Supreme","Produto premium para clientes exigentes que buscam qualidade superior.","Unidade 1kg","4","true","active","[""/produtos/10012.jpg""]","""2025-10-30T17:26:53.949Z""","""2025-10-30T20:54:24.734Z"""
"9","10023","Bacon Premium","Produto premium para clientes exigentes que buscam qualidade superior.","Saco plástico 3kg","6","false","active","[""/produtos/10023.jpg""]","""2025-10-30T17:26:54.024Z""","""2025-10-30T20:54:20.300Z"""
"10","10037","Costela Premium","Produto de origem controlada, garantindo máxima qualidade e procedência.","Embalagem individual","3","false","active","[""/produtos/10037.jpg""]","""2025-10-30T17:26:54.099Z""","""2025-10-30T20:54:20.449Z"""
